#,Full Name,FullTeamName,Pos.,Ht.,Year,Hometown,userteam,FantasyPts_sum,FantasyPts_mean,rank_pos,rank_global,GP,MIN_mean,PTS_mean,efg%,REB_mean,AST_mean,STL_mean,BLK_mean,3PM_mean,3PA_mean,FTM_mean,TO_mean,FGM_mean,FGA_mean,OREB_sum,OREB_mean,DREB_sum,DREB_mean,MIN_sum,PTS_sum,REB_sum,AST_sum,STL_sum,BLK_sum,TO_sum,FGM_sum,FGA_sum,3PM_sum,3PA_sum,FTM_sum,FTA_sum,FTA_mean,didWin_sum,Previous School,clean_name,ImageURL
2,Vera Gunaydin,Gonzaga Bulldogs,G,5-9,Sr.,"Ankara, Turkey",FreeAgent,0.0,0.0,94.5,154.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Georgia Tech,vera gunaydin,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/vera_gunaydin-7778.JPG?width=80&quality=90
3,Julia Wilson,Gonzaga Bulldogs,G,5-10,Fr.,"Temecula, CA",FreeAgent,152.0,8.44,55.0,86.0,18.0,12.56,2.28,0.415,1.33,1.22,0.39,0.17,0.22,0.56,0.39,0.61,0.83,2.28,4.0,0.22,20.0,1.11,226.0,41.0,24.0,22.0,7.0,3.0,11.0,15.0,41.0,4.0,10.0,7.0,13.0,0.72,12.0,Rancho Christian HS,julia wilson,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/julia_wilson-7070.JPG?width=80&quality=90
4,Sierra Lichtie,Gonzaga Bulldogs,F,6-0,Gr.,"Riverton, UT",FreeAgent,20.0,3.33,43.0,138.0,6.0,5.5,0.83,0.667,1.33,0.33,0.33,0.0,0.0,0.17,0.17,0.83,0.33,0.5,1.0,0.17,7.0,1.17,33.0,5.0,8.0,2.0,2.0,0.0,5.0,2.0,3.0,0.0,1.0,1.0,2.0,0.33,3.0,Cal Poly,sierra lichtie,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/sierra_lichtie-8103.JPG?width=80&quality=90
8,Ines Bettencourt,Gonzaga Bulldogs,G,5-9,Sr.,"Sao Miguel, Portugal",UserTeam3,273.0,16.06,33.0,51.0,17.0,26.76,5.59,0.368,3.41,2.65,1.29,0.24,0.71,2.06,1.0,2.59,1.94,6.24,15.0,0.88,43.0,2.53,455.0,95.0,58.0,45.0,22.0,4.0,44.0,33.0,106.0,12.0,35.0,17.0,24.0,1.41,11.0,UConn,ines bettencourt,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/ines_bettencourt-6446.JPG?width=80&quality=90
11,Allie Turner,Gonzaga Bulldogs,G,5-8,So.,"St. Louis, MO",UserTeam6,539.0,29.94,7.0,11.0,18.0,34.33,14.78,0.578,2.17,3.83,0.44,0.22,2.67,5.94,2.0,2.89,5.06,11.06,3.0,0.17,36.0,2.0,618.0,266.0,39.0,69.0,8.0,4.0,52.0,91.0,199.0,48.0,107.0,36.0,38.0,2.11,12.0,John Burroughs HS,allie turner,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/new_allie_pic.JPG?width=80&quality=90
12,Christabel Osarobo,Gonzaga Bulldogs,G,5-11,So.,"Tudela, Spain",FreeAgent,32.0,2.13,80.0,128.0,15.0,4.33,0.6,0.364,0.73,0.4,0.13,0.0,0.0,0.27,0.07,0.47,0.27,0.73,4.0,0.27,7.0,0.47,65.0,9.0,11.0,6.0,2.0,0.0,7.0,4.0,11.0,0.0,4.0,1.0,2.0,0.13,10.0,Ipswich Basketball Academy,christabel osarobo,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/christabel_osarobo-7880-3.JPG?width=80&quality=90
20,Taylor Smith,Gonzaga Bulldogs,F,6-2,Jr.,"Pocatello, ID",UserTeam3,376.0,20.89,12.0,33.0,18.0,25.06,5.22,0.434,3.72,3.11,1.17,0.61,0.0,0.61,0.44,2.17,2.39,5.5,19.0,1.06,48.0,2.67,451.0,94.0,67.0,56.0,21.0,11.0,39.0,43.0,99.0,0.0,11.0,8.0,13.0,0.72,12.0,Weber State,taylor smith,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/taylor_smith-1502.JPG?width=80&quality=90
22,McKynnlie Dalan,Gonzaga Bulldogs,F,6-0,Jr.,"Montesano, WA",FreeAgent,96.0,6.0,30.0,103.0,16.0,10.81,1.94,0.352,2.19,0.38,0.44,0.12,0.06,0.19,0.75,0.88,0.56,1.69,13.0,0.81,22.0,1.38,173.0,31.0,35.0,6.0,7.0,2.0,14.0,9.0,27.0,1.0,3.0,12.0,13.0,0.81,10.0,Minnesota,mckynnlie dalan,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/mckynnlie_dalan.JPG?width=80&quality=90
23,Jaiden Haile,Gonzaga Bulldogs,F,6-2,Fr.,"Fargo, ND",FreeAgent,312.0,17.33,13.0,40.0,18.0,17.44,6.22,0.552,5.83,1.39,0.11,0.28,0.0,0.06,0.89,1.17,2.67,4.83,55.0,3.06,50.0,2.78,314.0,112.0,105.0,25.0,2.0,5.0,21.0,48.0,87.0,0.0,1.0,16.0,44.0,2.44,12.0,West Fargo Horace HS,jaiden haile,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/jaiden_haile.JPG?width=80&quality=90
24,Teryn Gardner,Gonzaga Bulldogs,G,5-10,So.,"Spokane, WA",FreeAgent,272.0,15.11,34.0,52.0,18.0,19.39,5.72,0.662,3.17,0.78,0.67,0.06,1.44,2.89,0.5,0.78,1.89,3.94,21.0,1.17,36.0,2.0,349.0,103.0,57.0,14.0,12.0,1.0,14.0,34.0,71.0,26.0,52.0,9.0,10.0,0.56,12.0,Boise State,teryn gardner,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/teryn_gardner-7278.JPG?width=80&quality=90
